uri,title,event_date,sentiment,categories,loc_country,loc_continent,article_count,total_article_count,summary,nytimes,indiatimes,washingtonpost,usatoday,chinadaily
eng-4505520,Protesters call on Sudan president to go,2019-01-01,-0.207843137254902,"news/Business, dmoz/Society/Issues, dmoz/Society/Issues/Territorial Disputes, dmoz/Society/Issues/Economic",Sudan,Africa,145,159,Hundreds of protesters have gathered in the Sudanese city of Omdurman to call for an end to the nearly 30-year rule of President Omar al-Bashir.  The BBC's Mohamed Osman says security forces have used tear gas against some of the 300 or so demonstrators there.  Sudan has already been rocked by two weeks of sometimes deadly street demonstrations prompted by a rise in the cost of living.  The anti-government protests first erupted in mid-December over inflation.  The price of bread had tripled in s,0,0,1,0,0
eng-4506220,FG provides funds to meet ASUU demands,2019-01-01,0.09019607843137245,"news/Business, dmoz/Society/Work, dmoz/Society/Issues/Labor, dmoz/Society/Work/Labor-Management Relations",-,-,45,45,"The protracted strike by the Academic Staff Union of Universities (ASUU) may soon to be called off.  Minister of Labour and Employment, Dr. Chris Ngige, who gave the hint in Onitsha, Anambra State said that funds had been provided to meet most of the demands of the union.  He said the Federal Government would make necessary efforts to ensure that the strike comes to an end this January.  According to Ngige, the issues that made ASUU to embark on strike were based on agreement which the union ente",0,0,1,0,0
eng-4507501,Killings in Chicago fall 15% from year before,2019-01-01,0.09019607843137245,"news/Business, dmoz/Science/Earth Sciences, dmoz/Science/Earth Sciences/Geophysics, dmoz/Science/Earth Sciences/Geomatics",United States,Noth America,6,6,"ILLINOIS Killings in Chicago fall 15% from year before  Preliminary numbers indicate that homicides in Chicago fell by about 100 last year compared with 2017, though the total again eclipsed the number of killings in Los Angeles and New York combined, according to data released Tuesday.  Police in Chicago, the nation's third-largest city, reported 561 homicides between Jan. 1 and Dec. 31, 2018. That compares with 660 homicides in 2017 and more than 770 in 2016, which marked a 19-year high that pu",0,0,1,0,0
eng-4509569,"Here are the new 'Dogs of the Dow,' a simple investing strategy that beat the market last year",2019-01-01,-0.03529411764705881,"news/Business, dmoz/Business/Investing, dmoz/Business/Investing/Stocks and Bonds, dmoz/Business/Investing/Research and Analysis",-,-,17,17,"The strategy calls for the purchase of the 10 Dow members with the highest dividend yields.  The ""Dogs of the Dow"" beat the market in 2018. Now meet the new dogs.  One of Wall Street's classic investing strategies, perhaps the most hands-off one, kept investors relatively safe last year -- if one had bought the 10 highest-yielding stocks in the Dow Jones Industrial Average at the beginning of 2018 and held them all year long, it would have only lost 1.5 percent, versus the Dow's 6 percent annual ",0,0,1,1,0
eng-4512780,Metro eliminates Saturday parking fees | WTOP,2019-01-01,0.06666666666666665,"news/Business, dmoz/Business/Transportation and Logistics/Urban Transport",-,-,17,17,"WASHINGTON -- Starting this weekend, Metro will no longer have parking fees on Saturdays.  A $2 fee for weekend parking at Metro facilities had been implemented a year ago as part of a pilot program, but it is now being scrapped.  ""Riders who use Metrorail will park for free on Saturday, with the exception of designated regional or special events,"" Metro said in a news release.  There could still be a charge for parking on weekends or on federal holidays if a major event is happening, such as a F",0,0,1,0,0
eng-4516681,Government shutdown causing chaos at the IRS just before tax filing season,2019-01-01,0.04313725490196085,"news/Business, dmoz/Business/Accounting, dmoz/Business/Accounting/Tax Negotiation and Representation, dmoz/Home/Personal Finance/Tax Preparation",-,-,98,98,"Government shutdown causing chaos at the IRS just before tax filing season  Americans are used to procrastinating when it comes to their taxes. This year, tax filing season is expected to get an even bigger delay -- thanks to the government shutdown.  The Internal Revenue Service is one of the many agencies shut down since Dec. 22. Only 12 percent of its staff are working (without pay), mostly focused on security and technology. The agency is not issuing refunds, updating tax forms or answering p",0,0,1,0,0
eng-4505102,Trump: Falling gas prices are 'tax cut' for US consumers,2019-01-01,-0.0117647058823529,"news/Business, dmoz/Business/Energy/Oil and Gas, dmoz/Home/Consumer Information/Price Comparisons, dmoz/Shopping/Antiques and Collectibles/Advertising Collectibles",-,-,37,56,"RNC Spokeswoman Kayleigh McEnany on the government shutdown over the border wall funding debate.  President Trump touted steadily falling gas prices as a de facto tax cut for U.S. consumers who are paying less at the pump.  Gas prices have plunged in recent months - a decline that has occurred alongside a drop in the price of U.S. crude oil amid concerns that the marketplace is oversupplied. The average national price of gas stood at $2.25 per gallon as of Jan. 2.  ""Do you think it's just luck th",0,0,0,1,0
eng-4508952,Major automakers bullish on U.S. market despite rising interest rates,2019-01-01,0.1372549019607843,"news/Business, dmoz/Shopping/Classifieds, dmoz/Shopping/Classifieds/Automotive, dmoz/Business/Marketing and Advertising/Salesmanship",United States,Noth America,285,251,"DETROIT (Reuters) - Major automakers on Thursday shrugged off declines in U.S. new vehicle sales in December and said they were bullish about 2019 even as economists warned that rising interest rates will discourage consumers from buying cars in the year ahead.  ""Despite recent market turbulence, the data we have in hand suggests an economy that remains on solid footing heading into the new year,"" Ford Chief Economist Emily Kolinski Morris said on a conference call. ""Consumers seem to be looking ",0,0,0,1,0
eng-4508953,"A man fired his handgun at a Taco Bell dive-thru at 1am after 'not getting enough sauce,' police say",2019-01-01,-0.1529411764705882,"news/Business, dmoz/Business/Human Resources/Employee Relations, dmoz/Shopping/Food/Condiments, dmoz/Home/Cooking/Sauces, Dips, Gravies, and Toppings",United States,Noth America,32,32,"A man fired through the window of a Taco-Bell drive-thru because he did not get enough taco sauce, police said. Oklahoma City police said he was ""very upset"" about ""not getting enough sauce, or not getting any taco sauce"" with his order. Employees locked themselves in the bathroom when the man went inside, but he left before police arrived. The police said it was ""extremely fortunate"" that no one was hurt.  A man fired his handgun through the window of a Taco Bell drive-thru at 1 a.m. because he ",0,0,0,1,0
eng-4508992,Carnival Cruise AirShip Takes Flight; Kicks Off Month-Long Tour Of California,2018-12-29,0.3411764705882352,"dmoz/Recreation/Travel, dmoz/Recreation/Travel/Specialty Travel, news/Arts and Entertainment",-,-,8,12,"MIAMI, Dec. 31, 2018 /PRNewswire/ -- Kicking off a year-long celebration welcoming the new Carnival Panorama to the West Coast, Carnival Cruise Line is going to extreme heights today ­- literally - as its popular Carnival AirShip makes its aerial debut in Southern California.  Inviting everyone to ""Choose Fun,"" the 120-foot-long AirShip will fly over and visit culture and entertainment locations across the state throughout January including The Rose Parade: A Showcase of Floats on Jan. 2 as well",0,0,0,1,0
eng-4510610,Passenger stung with $252 bill for 32km Uber trip,2019-01-01,-0.01960784313725494,"news/Business, dmoz/Computers/Software/Device Drivers, dmoz/Computers/Programming/Drivers, dmoz/Business/Education and Training/Driving",Canada,Noth America,38,38,"Massive surcharges on Uber fares during New Year's Eve celebrations have sparked complaints from Perth revellers.  Many took to social media yesterday to protest about exorbitant charges for ride-sharing services, including one user who paid $252 for a 32km trip that took 33 minutes.  Under its surge pricing method, Uber increases fares in line with demand at busy times.  A woman who posted screen shots on social media of an Uber quote of about $200 to travel from Fremantle to Bayswater at 1.30am",0,0,0,1,0
eng-4514860,Government shutdown makes already rough farm markets even rougher,2019-01-01,-0.04313725490196074,"news/Business, dmoz/Business/Investing/Payment Associations, dmoz/Business/Agriculture and Forestry/Marketplaces, dmoz/Business/Agriculture and Forestry/Associations",-,-,9,9,"The Kinnard dairy farm milks more than 6,000 dairy cattle. Rick Wood / Milwaukee Journal Sentinel  The federal government shutdown could wreak havoc on U.S. agriculture, and the rural economy, as farmers wait on subsidy payments, loans and data they need now to make plans for the spring.  The timing could hardly be worse, according to some farmers, as they've already been hit with fallen commodity prices and the loss of foreign markets in President Donald Trump's trade wars.  Now as a result of t",0,0,0,1,0
eng-4502390,$10K to move to Vermont? Get remote worker application ready,2019-01-01,0.192156862745098,"dmoz/Society/Issues/Labor, dmoz/Home/Moving and Relocating, dmoz/Home/Moving and Relocating/Moving, news/Business",United States,Noth America,12,12,"BURLINGTON, Vt. - Last spring, Vermont said it would offer $10,000 to remote workers who put down roots in Vermont. Do you want that money?  Then get your application ready.  The state will begin accepting applications on New Year's Day. The grants will be given out on a first-come, first-served basis, said Nate Formalarie, a spokesman for the Agency of Commerce and Community Development.  The plan, approved by Gov. Phil Scott and the Legislature last spring, sparked widespread interest - and lot",0,0,0,1,0
eng-4507144,More coal plants shut down in Trump's first two years than in Obama's entire first term,2019-01-01,-0.07450980392156858,"news/Business, dmoz/Science/Technology/Mining, dmoz/Business/Mining and Drilling/Mineral Exploration and Extraction, dmoz/Business/Mining and Drilling/Associations",-,-,70,70,"The last time U.S. coal consumption was this low, Jimmy Carter was president.  Despite campaigning on a pledge to save the dirtiest of fossil fuels, President Donald Trump has presided over a faster rate of coal plant retirements in his first two years than President Barack Obama saw in his entire first term.  The U.S. Energy Information Administration (EIA) reports that while 15 gigawatts of coal-fired plants were shut down in Obama's first four years, Trump's first two years have seen some 20 g",0,0,0,0,1
eng-4507610,"Strive for great cause in year ahead, says Xi",2019-01-01,0.3568627450980393,"news/Business, dmoz/Business/Mining and Drilling/Conferences, dmoz/Business/Chemicals/Biochemical, dmoz/Society/Issues/Global",China,Asia,10,10,"PRESIDENT Xi Jinping has called for the whole nation to strive for ""an unprecedented and great cause"" in the year 2019, the 70th anniversary of the founding of the People's Republic of China.  Chinese people, who are self-reliant, hardworking and enterprising, have created a China miracle recognized by the world, he said in a New Year's Eve speech.  He vowed to rely on the people and push forward the cause step by step.  ""In 2018, we had a fulfilling and focused year,"" Xi said, which saw the coun",0,0,0,0,1
eng-4507904,The end of China's ride-sharing gig,2019-01-01,0.1215686274509804,"news/Business, dmoz/Recreation/Autos/Driving and Safety, dmoz/Health/Occupational Health and Safety",China,Asia,20,20,"Over the last few years, millions of Chinese workers managed to earn extra money by being ride-hailing drivers. Many picked the gig because of its flexible schedule. For those who could not otherwise afford to own a car in China's pricy metropolises, driving around is also a status symbol, even if they are paying off car loans every month.  Most drivers on Didi Chuxing -- the startup that captured 90 percent of China's e-hailing trips in 2017 per consulting firm Bain & Company -- were part-time. ",0,0,0,0,1
eng-4507921,OVP vows to continue helping Bicol landslide victims | Inquirer News,2019-01-01,-0.3960784313725491,"news/Business, dmoz/Science/Earth Sciences/Natural Disasters and Hazards, dmoz/Society/Philanthropy/Disaster Relief and Recovery",Philippines,Asia,92,92,"The Office of the Vice President (OVP) vowed on Wednesday to continue helping the landslide victims in the Bicol region rebuild their lives.  Vice President Leni Robredo visited Sagñay, Camarines Sur on the same day to check on the search and retrieval operations and hand over financial aid and relief goods to families struck by landslides in the said town.  Robredo, a former congresswoman of the province, said it is ""heartbreaking to see the damage left by Usman and to hear the stories of those",0,0,0,0,1
eng-4507958,Stratospheric Shanghai property market plateaus,2019-01-01,0.2,news/Business,China,Asia,13,13,"SHANGHAI -- Shanghai's pricey real estate market appears to have peaked as condominiums glut the market and the property rent index remains flat for the last two years.  In October, developer Country Garden Holdings slashed prices on its unsold condominiums in the eastern outskirts of Shanghai from 35,000 yuan ($5,068) per sq. meter to between 26,000 yuan and 28,000 yuan. Furious owners -- many of whom never moved in -- are staging protests near their properties, demanding that the company stop m",0,0,0,0,1
eng-4508294,Get a drone for Christmas? New rules coming in for recreational users,2019-01-01,-0.05882352941176472,"news/Business, dmoz/Business/Transportation and Logistics, dmoz/Business/Transportation and Logistics/Aviation, dmoz/Business/Aerospace and Defense/Defense",-,-,95,95,"Having a drone might be a whole lot of sky-high fun, but a host of incoming new regulations are about to make their operation safer, a Civil Aviation Safety Authority (CASA) spokesman says. Reports of a rogue drone grounded planes in Gatwick Airport in England causing mass chaos in the lead-up to Christmas, and while rules already apply for Australian users things are about to get tougher. Some of the existing rules for recreational drone users include not flying higher than 120 metres above the ",0,0,0,0,1
eng-4509671,"Forget Uber, This Is the Real IPO Opportunity in 2019",2019-01-01,0.08235294117647052,"news/Business, dmoz/Business/Investing/Stocks and Bonds, dmoz/Business/Marketing and Advertising/Consulting, dmoz/Business/Information Technology/Marketing and Advertising",-,-,12,12,"How many times have you read something like, ""If you bought Amazon at the initial public offering, you'd have $24 gazillion today""?  (In fact, Amazon went public at $18 per share and gained well over 8,200% since then.)  And it isn't just behemoths like Amazon.com Inc. (NASDAQ: AMZN) that have rewarded IPO investors with big gains.  Square Inc. (NYSE: SQ) offered peak gains of 670% for IPO investors in just three years of trading.  Even Twitter Inc. (NYSE: TWTR) surged nearly 70% in just over a m",0,0,0,0,1
eng-4511538,"China's high-speed railway length to top 30,000 km in 2019",2019-01-01,0.1607843137254903,"news/Business, dmoz/Business/Transportation and Logistics/Rail, dmoz/Recreation/Trains and Railroads, dmoz/Recreation/Trains and Railroads/Organizations",China,Asia,14,14,"In this undated photo, workers from China Railway Construction Group lay tracks along the Chengdu-Guiyang high-speed railway line. (CAO NING / FOR CHINA DAILY)  BEIJING - China plans to build 3,200 km of new high-speed railways in 2019, with a total length expected to exceed 30,000 km, a top railway operator said on Wednesday.  The new high-speed railways are part of the planned development of 6,800 km of new railways for the new year as China will keep fixed-asset investment on railway on a larg",0,0,0,0,1
eng-4513949,"Raffles Medical opens its first China hospital in Chongqing, - THE",2019-01-01,0.1529411764705881,news/Business,China,Asia,9,9,"RAFFLES Medical Group opened a 700-bed hospital in Chongqing, making it the group's first international tertiary hospital in the country, it said in a Singapore Exchange announcement before market open on Wednesday.  The group also has medical centres providing outpatient services in seven other Chinese cities.  The Chongqing hospital, which is owned and operated by the group, has a gross floor area of 100,000 square metres and when fully opened, will offer specialist services and centres of exce",0,0,0,0,1
eng-4517822,Senate minority leader steps away to address alcoholism,2019-01-01,0.1529411764705881,"news/Politics, dmoz/Health/Addictions, dmoz/Health/Addictions/Substance Abuse, dmoz/Society/Government/Parliaments and Legislatures",United States,Noth America,11,11,"ALBANY - Senate Minority Leader John Flanagan will miss the start of the new legislative session to seek additional help in his ongoing battle with alcohol dependency.  In a statement on Friday afternoon, the Long Island Republican, who led the chamber for the last three years, said the difficult decision is the right one for him and his family.  ""I must now make my health and well-being my number one priority,"" Flanagan said. ""As a result of the completion of a thorough rehabilitation and recove",1,0,0,0,0
eng-4516819,'Not sufficient': UN on Saudi trial into Jamal Khashoggi killing,2019-01-01,-0.3568627450980392,"dmoz/Society/Issues, news/Politics, dmoz/Society/Crime/Murder, dmoz/Society/Issues/Crime and Justice",Saudi Arabia,Asia,61,61,"Spokeswoman Ravina Shamdasani, asked on Friday about reports that a Saudi prosecutor had sought death sentence for five suspects linked to the October 2 killing, reiterated the UN office's call for an independent investigation ""with international involvement"".  The UN rights office always opposed the death penalty, she added.  The comments from the UN official came a day after the high-profile trial of the 11 suspects charged with Khashoggi's murder opened in Saudi capital, Riyadh, on Thursday.  ",1,0,0,0,0
eng-4516351,Opinion | American Jews and Israeli Jews Are Headed for a Messy Breakup,2019-01-01,-0.02745098039215688,"news/Politics, dmoz/Society/Politics/Nationalism, dmoz/Society/Religion and Spirituality/Judaism",Israel,Asia,51,51,"Mr. Weisman is the deputy Washington editor of The New York Times.  The events of past year brought American and Israeli Jews ever closer to a breaking point. President Trump, beloved in Israel and decidedly unloved by a majority of American Jews, moved the United States Embassy from Tel Aviv to Jerusalem in May, with the fiery evangelical pastors John Hagee and Robert Jeffress consecrating the ceremony.  In October, after the murder of 11 Jews at the Tree of Life synagogue in Pittsburgh, Preside",1,0,0,0,0
eng-4516041,Egypt's President El-Sisi denies holding political prisoners,2019-01-01,-0.1215686274509804,"dmoz/Society/Issues, news/Politics, dmoz/Society/Politics, dmoz/Society/Issues/Warfare and Conflict",Egypt,Africa,43,43,"Egyptian President Abdel Fattah el-Sisi sat down with Scott Pelley to make news on 60 Minutes and did when he confirmed his military was working with Israel against terrorists in North Sinai. But other questions, including jailing his opponents to maintain his regime and the massacre of 800 civilians by Egypt when he was Defense Minister were not the kind of news his government wanted broadcast. The 60 Minutes team was contacted by the Egyptian Ambassador shortly after and told the interview coul",1,0,0,0,0
eng-4515886,Fratricide in Full Bloom as Israeli Election Campaign Heats Up,2019-01-01,0.1529411764705881,"news/Politics, dmoz/Recreation/Parties/Planning, dmoz/Home/Entertaining/Party Planning, dmoz/Shopping/Entertainment/Party Supplies",Israel,Asia,20,20,"JERUSALEM -- With elections a few months away, it is political fratricide season in Israel: From left to right, candidates are sticking knives in the ribs of their natural allies in hopes of elevating their own chances of succeeding Prime Minister Benjamin Netanyahu.  This week, the Zionist Union, a four-year-old liberal alliance, blew itself up as the Labor Party chief, Avi Gabbay, humiliated the veteran politician Tzipi Livni by abruptly breaking with her and her boutique party Hatnuah (The Mov",1,0,0,0,0
eng-4514473,Opinion | China's Gulag for Muslims ,2019-01-01,-0.1294117647058823,"dmoz/Society/Issues, news/Politics, dmoz/Society/Religion and Spirituality/Islam",China,Asia,16,16,"In modern-day ""re-education"" prisons, Beijing is forcing ethnic Uighurs to forsake their religion. Why don't Muslim governments rise up in anger?  One of the darkest episodes of the 20th century was the gulag -- the Soviet system of forced labor camps where dissidents were imprisoned in terrible conditions, often to perish. The camps were established by Lenin, expanded by Stalin and finally exposed to the world by the great Russian author Aleksandr Solzhenitsyn, with his 1973 masterpiece, ""The Gu",1,0,0,0,0
eng-4514192,Controversy surrounding Trump's Bedminster club grows more serious,2019-01-01,0.07450980392156858,"news/Politics, dmoz/Society/Work, dmoz/Society/Issues/Immigration, dmoz/Sports/Golf",United States,Noth America,13,13,"About a month ago, the New York Times published a striking portrait of a Guatemalan immigrant named Victorina Morales, who entered the United States illegally many years ago, and in 2013, began working at the Trump National Golf Club in Bedminster, N.J. As a presidential candidate, Donald Trump assured voters he hadn't hired ""illegal immigrants."" Morales wanted the world to know that wasn't true.  At first, this looked like a story about a brave woman, coming forward despite the risks to her pers",1,0,1,0,0
eng-4511722,"'What Will I Not Miss?' In California, a Long Farewell From Jerry Brown",2019-01-01,0.1058823529411765,news/Politics,United States,Noth America,35,35,"WILLIAMS, Calif. -- It's time to add another name to the farewell tour circuit in this year of Elton John, Joan Baez, Paul Simon and Ozzy Osbourne: Edmund G. Brown Jr., the governor of California.  There was the invitation-only reception for 2,000 guests at a Sacramento basketball arena; the appearance on ""Meet the Press"" this past Sunday to talk about President Trump and offer dark warnings about global warming; and the interviews with The Los Angeles Times, The Sacramento Bee and many others. O",1,0,0,0,0
eng-4511370,NYC traffic injuries are up despite drop in fatalities,2019-01-01,-0.1215686274509804,"news/Politics, dmoz/Society/Issues/Transportation, dmoz/Recreation/Roads and Highways/Online Traffic Cameras, dmoz/Society/Death/Near Death Experiences",United States,Noth America,6,6,"Traffic deaths may be down under Mayor de Blasio's Vision Zero program, but there are more crashes since the program began and a steadily rising injury toll, ­according to NYPD data.  Collisions on city streets increased more than 11 percent between 2014 and 2018, statistics show. In 2014, there were 205,486, and that number rose to 228,227 in 2018.  During that same time, collisions resulting in injuries increased by 18 percent, from 37,556 in 2014 to 44,508 in 2018.  Overall injuries are also ",1,0,0,0,0
eng-4511244,"For Bernie Sanders, Claims of Sexism in 2016 Campaign Hang Over 2020 Bid",2019-01-01,-0.08235294117647063,"news/Politics, dmoz/Society/Issues/Violence and Abuse, dmoz/Society/Politics/Campaigns and Elections, dmoz/Society/Sexuality",United States,Noth America,109,109,"In February 2016, Giulianna Di Lauro, a Latino outreach strategist for Senator Bernie Sanders's presidential operation, complained to her supervisor that she had been harassed by a campaign surrogate whom she drove to events ahead of the Democratic primary in Nevada.  She said the surrogate told her she had ""beautiful curly hair"" and asked if he could touch it, Ms. Di Lauro said in an interview. Thinking he would just touch a strand, she consented. But she said that he ran his hand through her ha",1,0,1,1,0
eng-4505121,Netflix criticized for yanking comedian's episode in Saudi,2019-01-01,-0.2784313725490196,"news/Arts and Entertainment, dmoz/Society/Issues, news/Politics, dmoz/Arts/Television/Programs, dmoz/Home/Consumer Information/Arts and Entertainment",Turkey,Asia,605,541,"Human rights group Amnesty International said Saudi Arabia's censorship of Netflix is ""further proof of a relentless crackdown on freedom of expression."" Netflix said it was simply complying with a local law.  Netflix faced criticism Wednesday from human rights groups for pulling an episode in Saudi Arabia of comedian Hasan Minhaj's ""Patriot Act"" series that criticized the kingdom's powerful crown prince.  The American comedian used his second episode, released Oct. 28, to criticize Crown Prince ",1,1,1,1,1
eng-4502815,"Bulandshahr: Inspector Subodh Kumar Singh became 'hopeless' and shot himself, claims BJP MLA",2018-12-29,-0.3490196078431372,"dmoz/Society/Law/Law Enforcement, dmoz/Society/Issues/Violence and Abuse, news/Politics",India,Asia,29,54,"Devendra Singh Lodhi also claimed that the policeman was not specifically targeted in the violence.  A Bharatiya Janata Party MLA from Uttar Pradesh on Friday claimed that Inspector Subodh Kumar Singh, who was among two people killed in Bulandshahr district earlier this month, shot himself after he became ""hopeless"", ANI reported.  ""While trying to save himself, the cop became hopeless and fired at himself in haste,"" said Devendra Singh Lodhi. ""He was not targeted by anyone; it was a mob that got",0,1,0,0,0
eng-4505965,"India, Pakistan Exchange Lists Of Prisoners",2019-01-01,0.003921568627450966,"news/Politics, dmoz/Society/Crime/Prisons, dmoz/Society/Issues/Crime and Justice, dmoz/Computers/Artificial Life/Iterated Prisoner Dilemma",Pakistan,Asia,53,53,"NEW DELHI -- India and Pakistan Tuesday exchanged details of civilian prisoners and fishermen lodged in each other's jails.The Ministry of External Affairs or MEA said India handed over to Pakistan lists of 249 Pakistani civilian prisoners and 98 fishermen in its custody.Pakistan has shared lists of 54 civilian prisoners and 483 fishermen in its custody, who are Indians or are believed-to-be-Indians.The lists were exchanged in keeping with the provisions of a 2008 agreement under which such lists",0,1,0,0,0
