uri,title,event_date,sentiment,categories,loc_country,loc_continent,article_count,total_article_count,delo,dnevnik,vecer
slv-66243,Poziv OKS-ja vladi za pomoč športu,2020-03-24,,news/Business,Slovenia,Europe,9,9,1,1,1
slv-67273,"Zaposleni terjajo 15 milijonov neporavnanih plač, premoženja Adrie pa praktično ni",2020-05-05,,news/Business,Albania,Europe,9,9,1,1,1
slv-67786,"Potrjen format končnice, ki bi dal prvaka zgodaj jeseni",2020-05-27,,news/Business,United States,Noth America,10,10,1,1,1
tur-512304,Lagardova bo branila Draghijevo nasledstvo,2019-09-04,,news/Business,Germany,Europe,12,5,1,1,1
ukr-51326,Letalo med zasilnim vračanjem na pristanišče odvrglo gorivo tudi na otroke,2020-01-15,,news/Business,United States,Noth America,19,6,1,1,1
slv-57663,Preiskava Banki Slovenije: Bruselj toži Slovenijo pred Sodiščem EU,2019-01-24,,"news/Business, news/Politics",Belgium,Europe,13,13,1,1,1
deu-1011124,Cipras obisk v Skopju označil za korak naprej za Balkan in Evropo ,2019-04-02,,"news/Business, news/Politics",-,-,37,11,1,1,1
slv-57371,Budimpešta: 10.000 udeležencev novega protivladnega protesta,2019-01-03,,"news/Business, news/Politics",Hungary,Europe,32,20,1,1,1
hrv-216662,Ivo Sanader v aferi Ina-MOL obsojen na 6 let zapora,2019-12-30,-0.003921568627451,"news/Business, news/Politics, dmoz/Society/Transgendered/Law, dmoz/Society/Issues/Crime and Justice",Croatia,Europe,146,11,1,1,1
deu-1189360,Čeferin pozdravlja nadaljevanje bundeslige,2020-05-17,,"news/Business, news/Sports",-,-,28,20,1,1,1
slv-66341,Po virusu še ta udarec. Česa takšnega ne pomnijo.,2020-03-27,,news/Environment,-,-,18,18,1,1,1
slv-57894,"Reški klinični center bo moral pacientki odplačati rekordno odškodnino, dobrih 750.000 evrov",2019-02-04,,news/Health,Croatia,Europe,5,5,1,1,1
slv-64029,Bolnik z ošpicami v UKC Ljubljana prišel v stik z 200 do 300 ljudmi ,2019-12-16,,news/Health,Slovenia,Europe,26,26,1,1,1
slv-65284,Zaradi gripe in RSV virusa v UKC Ljubljana hospitalizirali 750 ljudi ,2020-02-12,,news/Health,Slovenia,Europe,15,15,1,1,1
slv-65650,(KORONAVIRUS) Priporočila in navodila: Kako prepoznamo koronavirus in kaj storiti?,2020-02-26,,news/Health,Slovenia,Europe,6,6,1,1,1
slv-66531,Okrnjeno zdravstvo bi lahko na dolgi rok zahtevalo več žrtev kot covid-19,2020-04-04,,news/Health,Slovenia,Europe,7,7,1,1,1
fra-580867,FOTO:Na severu Italije zaradi koronavirusa v izolaciji enajst mest,2020-02-22,,news/Politics,-,-,104,39,1,1,1
fra-449713,Zaradi dogovora z Makedonijo razpada grška koalicija,2019-01-10,,news/Politics,Greece,Europe,85,25,1,1,1
slv-67586,Prestopniški poslanec Židan imel blokirane račune svojih podjetij - je,2020-05-18,,news/Politics,-,-,39,39,1,1,1
slv-60202,ESČP najbolj zanimala povezanost Ljubljanske banke z državo ,2019-06-12,,news/Politics,France,Europe,20,20,1,1,1
slv-62330,Lek na Prevaljah ukinja proizvodnjo antibiotikov,2019-10-01,,news/Politics,Slovenia,Europe,17,17,1,1,1
deu-1095863,FOTO:Zvezdniki spet bežijo pred hudimi požari - muzeja Getty ogenj še ne ogroža,2019-10-25,,news/Politics,United States,Noth America,109,7,1,1,1
deu-986279,Mogherinijeva poziva k ohranitvi jedrske pogodbe INF,2019-01-31,,news/Politics,-,-,692,28,1,1,1
deu-987563,Frančišek v nedeljo kot prvi papež v Združene arabske emirate (ozadje),2019-02-01,,news/Politics,United Arab Emirates,Asia,345,18,1,1,1
fra-476447,Volitve v Izraelu: Netanjahu na poti do petega mandata,2019-04-09,,news/Politics,Israel,Asia,328,23,1,1,1
fra-614058,FOTO:Papež Frančišek: Ni desne in leve Cerkve,2020-05-30,,news/Politics,Israel,Asia,48,8,1,1,1
hrv-191123,"Ni kupčije, ni obiska",2019-08-19,,news/Politics,Denmark,Europe,87,24,1,1,1
ita-137390,"Med nedeljsko mašo v katedrali odjeknila eksplozija, vsaj 27 mrtvih",2019-01-27,,news/Politics,Philippines,Asia,50,10,1,1,1
ita-175487,Trump napovedal umik sankcij proti Turčiji,2019-10-22,,news/Politics,Turkey,Asia,99,18,1,1,1
rus-730629,Palestinska oblast prekinja odnose z Izraelom in ZDA,2020-02-01,,news/Politics,-,-,185,13,1,1,1
rus-746502,"Turški notranji minister že o 76 tisoč migrantih, ki so krenili proti",2020-02-27,,news/Politics,Turkey,Asia,228,31,1,1,1
slv-57350,Višje sodišče: obnova hiše Simone Dimic ni bila sporna,2019-01-04,,news/Politics,Slovenia,Europe,9,9,1,1,1
slv-57386,"Židan: ""Smo uporniki in borci za lastne pravice""",2019-01-05,,news/Politics,Slovenia,Europe,10,10,1,1,1
slv-57450,Kemis zanika zakopavanja nevarnih odpadkov na vodovarstvenem območju,2019-01-10,,news/Politics,Italy,Europe,15,15,1,1,1
slv-57465,Iz prodajalne orožja ukradli pištole in dva bombometa,2019-01-11,,news/Politics,Slovenia,Europe,13,13,1,1,1
slv-57478,FOTO:Francoske ulice znova polne rumenih jopičev - policija aretirala 24 ljudi (FOTO),2019-01-12,,news/Politics,France,Europe,14,14,1,1,1
slv-57489,V Dražgošah slovesnost ob 77. obletnici bitke ,2019-01-13,,news/Politics,Slovenia,Europe,13,13,1,1,1
slv-57492,"FOTO:Župan Gdanska po napadu z nožem v ""zelo kritičnem stanju"" (FOTO in VIDEO)",2019-01-14,,news/Politics,Poland,Europe,16,16,1,1,1
slv-57558,Vestnik - Prilagoditev volilnih okrajev kot misija nemogoče,2019-01-15,,news/Politics,-,-,27,27,1,1,1
slv-57560,Portoroški prostorski načrti na ustavnem sodišču,2019-01-17,,news/Politics,Slovenia,Europe,6,6,1,1,1
slv-57587,Trump sprejel odposlanca predsednika Severne Koreje Kima,2019-01-18,,news/Politics,United States,Noth America,14,14,1,1,1
slv-57614,Zaostanek na ljubljanskem CSD naj bi odpravili v desetih dneh,2019-01-21,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-57646,"Priprli Bolgara, ki sta vlamljala v bankomate",2019-01-23,,news/Politics,Slovenia,Europe,9,9,1,1,1
slv-57659,Obdolženi v zadevi dodatki so se izrekli za nedolžne,2019-01-24,,news/Politics,Slovenia,Europe,17,17,1,1,1
slv-57664,Avstrija za otroke dnevnih migrantov ne bi smela znižati otroških dodatkov,2019-01-24,,news/Politics,Belgium,Europe,11,11,1,1,1
slv-57668,"Šarec bo Prešičkovo poročilo prebral, ko se vrne v domovino",2019-01-24,,news/Politics,Slovenia,Europe,14,14,1,1,1
slv-57726,DSP: Kaos je rezultat dosedanjega političnega odnosa do kulture,2019-01-27,,news/Politics,-,-,7,7,1,1,1
slv-57860,"(FOTO) Rumeni jopiči: V Parizu ""veliki pohod ranjencev""",2019-02-02,,news/Politics,France,Europe,9,9,1,1,1
slv-58186,Zakaj prva dama policije ne zaupa šefu NPU,2019-02-20,,news/Politics,-,-,6,6,1,1,1
slv-58210,"Britanski minister ponosen na Slovence, ""vazale Sovjetske zveze""",2019-02-21,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-58271,"V projektu 2. tir prve kazenske ovadbe: ne samo maketa, skrili so pol milijarde evrov!",2019-02-25,,news/Politics,Slovenia,Europe,21,21,1,1,1
slv-58318,"Trump imel ""sijajen sestanek in večerjo v Hanoju""",2019-02-28,,news/Politics,Vietnam,Asia,18,18,1,1,1
slv-58337,"Pakistan umirja napetosti in napoveduje, da bo izpustil indijskega pilota",2019-02-27,,news/Politics,Pakistan,Asia,22,22,1,1,1
slv-58412,Orban namignil na morebitno zavezništvo s PiS namesto EPP,2019-03-05,,news/Politics,Belgium,Europe,30,30,1,1,1
slv-58488,Sodišče: SDS je s kreditom Dijane Đuđić kršila zakon o financiranju strank,2019-03-08,,news/Politics,Bosnia and Herzegovina,Europe,9,9,1,1,1
slv-58521,"V SD-ju podpirajo sporazum z Levico, a ga nameravajo dopolniti. V SMC-ju ne pričakujejo zapletov.",2019-03-11,,news/Politics,-,-,17,17,1,1,1
slv-58645,"Cerar: Janševa stališča o arbitraži škodljiva, nevarna, 'lovska'",2019-03-18,,news/Politics,Belgium,Europe,9,9,1,1,1
slv-58689,Karadžić bo do smrti za rešetkami,2019-03-20,,news/Politics,Bosnia and Herzegovina,Europe,17,17,1,1,1
slv-58807,EP za ukinitev premikanja ure: bo Slovenija izbrala zimski ali poletni čas?,2019-03-26,,news/Politics,-,-,21,21,1,1,1
slv-58866,Evropske volitve: Angelika Mlinar krenila na težjo pot,2019-03-29,,news/Politics,Slovenia,Europe,13,13,1,1,1
slv-58971,"'Tu ne gre za merjenje mišic, res potrebujemo pomoč'",2019-04-01,,news/Politics,-,-,17,17,1,1,1
slv-59013,Madžarska želi pomoč MZZ-ja pri discipliniranju tednika Mladina,2019-03-22,,news/Politics,Slovenia,Europe,14,14,1,1,1
slv-59037,(FOTO in VIDEO) Novo letališče v Istanbulu pričelo obratovati,2019-04-06,,news/Politics,Turkey,Asia,6,6,1,1,1
slv-59048,(VIDEO) V Venezueli z množičnimi protesti opozicije zagnali operacijo svoboda,2019-04-06,,news/Politics,Venezuela,South America,9,9,1,1,1
slv-59192,Šarec o tretji razvojni osi: Nehajmo se preganjati okoli tras in začnimo delati,2019-04-15,,news/Politics,Slovenia,Europe,10,10,1,1,1
slv-59194,Slovenska vojska: Škerbinc preko sindikata napovedal vojno Erjavcu,2019-04-12,,news/Politics,Slovenia,Europe,12,12,1,1,1
slv-59209,Šarec Junckerja obtožil pristranskosti zaradi političnih interesov,2019-04-16,,news/Politics,Belgium,Europe,9,9,1,1,1
slv-59441,Naruhito obljubil vestno izpolnjevanje cesarskih dolžnosti,2019-04-30,,news/Politics,Japan,Asia,21,21,1,1,1
slv-59471,Dan svobode medijev: opozorila o pritiskih in političnem vplivu,2019-05-03,,news/Politics,-,-,8,8,1,1,1
slv-59540,"Bavčar: ""To je bil čas, ko je Janša odšel v Dob, kjer danes sedim jaz""",2019-05-07,,news/Politics,Slovenia,Europe,18,18,1,1,1
slv-59837,Med lepilom zelo čist heroin,2019-05-23,,news/Politics,Slovenia,Europe,9,9,1,1,1
slv-59887,V BiH ovadba Janševe posojilodalajke Dijane Đuđić,2019-05-24,,news/Politics,Bosnia and Herzegovina,Europe,9,9,1,1,1
slv-59921,"Štirje mladi ugrabili moškega, ga silili k dvigovanju denarja in mu grozili z ubojem",2019-05-28,,news/Politics,Slovenia,Europe,9,9,1,1,1
slv-59931,SMC po slabem rezultatu na kongres,2019-05-28,,news/Politics,-,-,9,9,1,1,1
slv-59952,"Adria Airways ""aktivno išče boljše sodelovanje z vlado""",2019-05-29,,news/Politics,Slovenia,Europe,6,6,1,1,1
slv-60223,Nekdanja ministrica toži državo za 25.000 evrov,2019-06-12,,news/Politics,Slovenia,Europe,6,6,1,1,1
slv-60286,"Hongkong: Organizatorji trdijo, da je na ulicah skoraj dva milijona ljudi",2019-06-16,,news/Politics,China,Asia,26,13,1,1,1
slv-60363,Pogojna kazen zdravniku za sprejemanje podkupnine ,2019-06-20,,news/Politics,Slovenia,Europe,14,14,1,1,1
slv-60552,Nekdanji ministri: Izenačeno financiranje vodi v slabitev javnega šolstva,2019-06-30,,news/Politics,-,-,13,13,1,1,1
slv-60697,"Iračan na Vogrskem z nožem napadel taksista, nato še policista, ki je moral streljati",2019-07-08,,news/Politics,Slovenia,Europe,14,14,1,1,1
slv-60714,Sodišče EU-ja bo presojalo o pristojnosti za tožbo glede arbitraže,2019-07-08,,news/Politics,-,-,24,24,1,1,1
slv-60745,Spoštovani poslanke in poslanci Državnega zbora Republike Slovenije,2019-07-10,,news/Politics,-,-,5,5,1,1,1
slv-60818,Cekuti prekinili prestajanje zaporne kazni,2019-07-13,,news/Politics,Slovenia,Europe,8,8,1,1,1
slv-60833,Vojaška parada v Parizu v znamenju vojaškega povezovanja v EU-ju,2019-07-14,,news/Politics,France,Europe,9,9,1,1,1
slv-60897,Zagovornika legalizacije tokrat obsojena,2019-07-17,,news/Politics,Slovenia,Europe,5,5,1,1,1
slv-60910,"Šarec: Se je kdo od kritikov kdaj pogajal z Rusijo, ZDA, Azerbajdžanom?",2019-07-18,,news/Politics,Belgium,Europe,9,9,1,1,1
slv-60943,Odpuščeni policist ni zlorabil duševno zaostalega mladeniča,2019-07-19,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-61051,Tožilci za pripravo obtožnice v zadevi Teš 6 potrebujejo več časa,2019-07-23,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-61380,Vladimir Putin dvajset let na čelu Rusije,2019-08-08,,news/Politics,Russia,Europe,5,5,1,1,1
slv-61383,"Salvini Richardu Geru: ""Odpelji migrante v Hollywood s svojim zasebnim letalom""",2019-08-11,,news/Politics,Italy,Europe,8,8,1,1,1
slv-61453,Sindikat kmetov: Pritisk na vlado zaradi napadov zveri deluje,2019-08-16,,news/Politics,Slovenia,Europe,11,11,1,1,1
slv-61478,Odesa: V požaru v hotelu umrlo najmanj osem ljudi,2019-08-17,,news/Politics,Ukraine,Europe,10,10,1,1,1
slv-61505,"Ovadili zdravnico, ki je napisala opravičilo sodniku",2019-08-19,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-61573,Ivana Omana je na zadnjo pot pospremilo več sto ljudi,2019-08-21,,news/Politics,Slovenia,Europe,12,12,1,1,1
slv-61575,EU: Johnson ne predlaga alternativ irskemu varovalu,2019-08-20,,news/Politics,-,-,11,11,1,1,1
slv-61629,Petkov umor v Ljubljani posledica spora med sorodnikoma,2019-08-24,,news/Politics,Slovenia,Europe,14,14,1,1,1
slv-61637,"Srečanje LMŠ-ja: ""Ko bo Avstrija v temi, ne bodo vprašali, od kod elektrika""",2019-08-24,,news/Politics,-,-,13,13,1,1,1
slv-61678,"Generalni sekretar LMŠ-ja Brane Kralj lobiral, da bi Igor Šoltes postal direktor Uradnega lista?",2019-08-29,,news/Politics,-,-,46,46,1,1,1
slv-61726,Požar med Ajdovščino in Colom gasi 45 gasilcev in helikopter,2019-08-31,,news/Politics,Slovenia,Europe,13,13,1,1,1
slv-61732,Okoli dvesto protestnikov se je v bran medvedov in volkov zbralo na Trgu republike,2019-08-31,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-61768,Šoltes noče več na Uradni list,2019-09-02,,news/Politics,-,-,9,9,1,1,1
slv-61778,"Tonin: NSi ne namerava ""vskočiti"" v vlado namesto Levice",2019-09-03,,news/Politics,-,-,8,8,1,1,1
slv-61797,"Pahor pozval Hrvaško, naj uveljavi arbitražno razsodbo",2019-09-04,,news/Politics,Croatia,Europe,9,9,1,1,1
slv-61892,Lenarčič po pogovoru s von der Leynovo še čaka na svoj resor,2019-09-06,,news/Politics,Belgium,Europe,9,9,1,1,1
slv-61916,Pismo obupane matere poslancem,2019-09-10,,news/Politics,-,-,17,17,1,1,1
slv-61919,"""Pahor bi moral odstopiti, saj je ogrozil varnost Slovenije""",2019-09-11,,news/Politics,Turkey,Asia,19,19,1,1,1
slv-61946,Z ukinitvijo dopolnilnega zavarovanja bi zmanjkalo 150 milijonov?,2019-09-12,,news/Politics,-,-,13,13,1,1,1
slv-61947,Levica in koalicija pretresata izračun posledic prenosa dopolnilnega zavarovanja,2019-09-09,,news/Politics,-,-,20,20,1,1,1
slv-61985,Slavnostno ob prazniku vrnitve Primorske k matični domovini,2019-09-14,,news/Politics,Slovenia,Europe,16,16,1,1,1
slv-62125,Leti bodo tudi danes imeli zamudo,2019-09-21,,news/Politics,Switzerland,Europe,10,10,1,1,1
slv-62256,Šarec se je v ZN-ju zavzel za učinkovit multilaterizem v svetu,2019-09-27,,news/Politics,United States,Noth America,9,9,1,1,1
slv-62300,Ali bo vlada reševala Adrio Airways ali zgolj letalsko povezljivost Slovenije?,2019-09-28,,news/Politics,Slovenia,Europe,8,8,1,1,1
slv-62319,Kulturniki Šarca in koalicijo pozivajo k izpolnjevanju koalicijskega sporazuma,2019-09-30,,news/Politics,Slovenia,Europe,9,9,1,1,1
slv-62329,"Na novem portalu lahko preverite, koliko je vredna vaša nepremičnina",2019-10-01,,news/Politics,Slovenia,Europe,24,24,1,1,1
slv-62374,Po odstopu Puriča bo resor za kohezijo začasno vodila kar Bratuškova,2019-10-03,,news/Politics,-,-,7,7,1,1,1
slv-62404,Stavka na upravni enoti Tobačna še vedno v zraku,2019-10-02,,news/Politics,Slovenia,Europe,15,15,1,1,1
slv-62405,Na ljubljanski upravni enoti napovedali stavko,2019-10-01,,news/Politics,Slovenia,Europe,14,14,1,1,1
slv-62410,Predsedniku sodišča pogojna kazen in prepoved približevanja,2019-10-04,,news/Politics,Slovenia,Europe,6,6,1,1,1
slv-62447,Višina bančne luknje presenetila tudi ministrstvo,2019-10-07,,news/Politics,-,-,13,13,1,1,1
slv-62476,Šarcu uspelo ponovno vzpostaviti dialog s socialnimi partnerji,2019-10-08,,news/Politics,Slovenia,Europe,11,11,1,1,1
slv-62672,"Tonin Šarcu: Včasih je modreje, če človek molči",2019-10-17,,news/Politics,-,-,12,12,1,1,1
slv-62706,Johnson na razpravi o brexitu: Danes zgodovinska priložnost za korak naprej,2019-10-19,,news/Politics,United Kingdom,Europe,9,9,1,1,1
slv-62709,"Več deset tisoč ljudi na protestu Lige proti vladi, tudi fašisti",2019-10-19,,news/Politics,Italy,Europe,8,8,1,1,1
slv-62763,Knovs opravil kadrovski nadzor v Sovi zaradi sorodnice Ljudmile Novak,2019-10-22,,news/Politics,-,-,16,16,1,1,1
slv-62906,"Vlada pozvala SDH, naj pojasni dogajanje v Petrolu; Šarec: Naj nikar ne kažejo s prstom na nas",2019-10-25,,news/Politics,-,-,9,9,1,1,1
slv-62929,"Šarec: ""Na Banki Slovenije nimajo stika z realnostjo in z ljudmi""",2019-10-29,,news/Politics,Slovenia,Europe,11,11,1,1,1
slv-62956,"Pentagon objavil posnetke operacije, v kateri je umrl Al Bagdadi",2019-10-31,,news/Politics,-,-,11,11,1,1,1
slv-62968,Dunajske kavarne brez dima: v Avstriji velja prepoved kajenja v lokalih,2019-11-01,,news/Politics,Austria,Europe,10,10,1,1,1
slv-62983,Nekdanja veleposlanica v Parizu pred sodnika. Na odškodnino za 5000 evrov dopisala svoje ime,2019-11-02,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-62989,V Glasgowu se je zbralo več tisoč zagovornikov neodvisne Škotske,2019-11-02,,news/Politics,United Kingdom,Europe,8,8,1,1,1
slv-63017,"Geografi poudarjajo, da bi bila členitev na osem pokrajin bolj smiselna",2019-11-03,,news/Politics,Slovenia,Europe,21,21,1,1,1
slv-63081,Pikalo predlaga revizijo poslovanja javnih visokošolskih zavodov,2019-11-06,,news/Politics,Slovenia,Europe,8,8,1,1,1
slv-63104,Trump mora plačati dva milijona dolarjev zaradi zlorabe sredstev dobrodelne organizacije,2019-11-08,,news/Politics,United States,Noth America,8,8,1,1,1
slv-63189,"K. Grabar Kitarović na volitve s programom ""Hrvaška zna in zmore bolje""",2019-11-11,,news/Politics,Croatia,Europe,8,8,1,1,1
slv-63191,Knovs sprejel javni del poročila o zapletih v arbitraži,2019-11-08,,news/Politics,-,-,9,9,1,1,1
slv-63211,Velenjski župan poziva Šarca naj prepreči selitev uprave Gorenja v Ljubljano,2019-11-12,,news/Politics,Slovenia,Europe,9,9,1,1,1
slv-63335,NSi na kongresu pod geslom Sredina sprejema prenovljeni program,2019-11-17,,news/Politics,Slovenia,Europe,16,16,1,1,1
slv-63786,Nutella za Salvinija ni dovolj italijanska,2019-12-06,,news/Politics,Italy,Europe,7,7,1,1,1
slv-63794,Protest zoper vojaško degradacijo stoletnice Univerze v Ljubljani,2019-12-06,,news/Politics,-,-,5,5,1,1,1
slv-63929,Knovs začel zasliševati priče zaradi domnevno spornih zaposlitev v Sovi,2019-12-10,,news/Politics,Turkey,Asia,11,11,1,1,1
slv-64207,"""Kljub vsem našim grehom nas ima Bog še naprej rad""",2019-12-24,,news/Politics,Palestine,Asia,9,9,1,1,1
slv-64331,Avstrijski konservativci in zeleni dosegli koalicijski dogovor,2020-01-01,,news/Politics,Spain,Europe,18,18,1,1,1
slv-64337,Belgija ustavila obravnavo naloga za izročitev Puigdemonta Španiji,2020-01-02,,news/Politics,Spain,Europe,9,9,1,1,1
slv-64372,FOTO:Na najbolj nepredvidljivih volitvah bi lahko odločali glasovi Hrvatov v tujini,2020-01-05,,news/Politics,Croatia,Europe,11,11,1,1,1
slv-64446,Madžari bi kupljeno SKB banko radi videli višje kot na 4. mestu na trgu,2020-01-08,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-64537,"Policija razgnala iranske študente, ki so protestirali zaradi sestrelitve letala",2020-01-12,,news/Politics,Iran,Asia,11,11,1,1,1
slv-64652,"Lepo je biti v družbi prvorazrednih: Ata Zoran obiskal Dražgoše, sine",2020-01-16,,news/Politics,Slovenia,Europe,6,6,1,1,1
slv-64675,Zelena stranka do novih volitev bo,2020-01-17,,news/Politics,-,-,8,8,1,1,1
slv-64820,Plače javnih uslužbencev želijo bolj povezati z rezultati dela ,2020-01-22,,news/Politics,Slovenia,Europe,7,7,1,1,1
slv-65107,Predčasne volitve ostajajo prva izbira SD-ja,2020-02-05,,news/Politics,-,-,9,9,1,1,1
slv-65227,"Thomas Kemmerich odstopil, nemška kolicija za čimprejšnje volitve v Turingiji",2020-02-08,,news/Politics,Germany,Europe,20,20,1,1,1
slv-65333,"Šarec: ""Vprašati se moramo, ali želimo Orbanovo Slovenijo""",2020-02-14,,news/Politics,Belgium,Europe,18,18,1,1,1
slv-65390,(JAVNO PISMO) Obvarujmo občutljivo slovensko demokracijo pred avtoritarno oblastjo!,2020-02-17,,news/Politics,-,-,13,13,1,1,1
